x,AIRPORT,AirportName,Lat,Lng,State
1,ADELAIDE,Adelaide International Airport,-34.945,138.531006,SA
2,ALBANY,Albany Airport,-34.94329834,117.8089981,WA
3,ALBURY,Albury Airport,-36.06779861,146.9579926,NSW
4,ALICE SPRINGS,Alice Springs Airport,-23.80669975,133.9019928,NT
5,ARMIDALE,Armidale Airport,-30.52809906,151.6170044,NSW
6,AYERS ROCK,Ayers Rock Connellan Airport,-25.1861,130.975998,NT
7,BALLINA,Ballina Byron Gateway Airport,-28.83390045,153.5619965,NSW
8,BAMAGA,Northern Peninsula Airport,-10.9508,142.459,QLD
9,BATHURST,Bathurst Airport,-33.40940094,149.6519928,NSW
10,BATHURST ISLAND,Bathurst Island Airport,-11.769167,130.619722,NSW
11,BILOELA,Thangool Airport,-24.4939003,150.576004,QLD
12,BRISBANE,Brisbane International Airport,-27.38419914,153.1170044,QLD
13,BROKEN HILL,Broken Hill Airport,-32.00139999,141.4720001,NSW
14,BROOME,Broome International Airport,-17.94470024,122.2320023,WA
15,BUNDABERG,Bundaberg Base Hospital Helipad,-24.869446,152.335045,QLD
16,BURNIE,Wynyard Airport,-40.99890137,145.7310028,TAS
17,CAIRNS,Cairns International Airport,-16.88579941,145.7550049,QLD
18,CANBERRA,Canberra International Airport,-35.30690002,149.1950073,ACT
19,CARNARVON,Carnarvon Airport,-24.880211,113.67174,WA
20,CEDUNA,Ceduna Airport,-32.130556,133.709722,SA
21,CHARLEVILLE,Charleville Airport,-26.41329956,146.2619934,QLD
22,CHRISTMAS ISLAND,Christmas Island Airport,-10.450556,105.690278,OT
23,CLONCURRY,Cloncurry Airport,-20.66860008,140.5039978,QLD
24,COCOS ISLAND,Cocos (Keeling) Islands Airport,-12.188611,96.830556,OT
25,COFFS HARBOUR,Coffs Harbour Airport,-30.32060051,153.1159973,NSW
26,COOBER PEDY,Coober Pedy Airport,-29.04,134.721667,SA
27,COOKTOWN,Cooktown Airport,-15.444722,145.184444,QLD
28,COOMA,Cooma Snowy Mountains Airport,-36.30059814,148.973999,NSW
29,DARWIN,Darwin International Airport,-12.41469955,130.8769989,NT
30,DEVONPORT,Devonport Airport,-41.16970062,146.4299927,TAS
31,DUBBO,Dubbo City Regional Airport,-32.21670151,148.5749969,NSW
32,ELCHO ISLAND,Elcho Island Airport,-12.01939964,135.5709991,NT
33,EMERALD,Emerald Airport,-23.56749916,148.1790009,QLD
34,ESPERANCE,Esperance Airport,-33.684399,121.822998,WA
35,ESSENDON,Essendon Airport,-37.728056,144.901944,VIC
36,FLINDERS ISLAND,Flinders Island Airport,-40.09170151,147.9929962,TAS
37,GERALDTON,Geraldton Airport,-28.796101,114.707001,WA
38,GLADSTONE,Gladstone Airport,-23.869699,151.223007,QLD
39,GOLD COAST,Gold Coast Airport,-28.1644001,153.5050049,QLD
40,GOVE,Gove Airport,-12.27,136.818333,NT
41,GRAFTON,Grafton Hospital Helipad,-29.67357,152.94074,NSW
