AIRPORT,Year,Rank,DomesticINBOUND,DomesticOUTBOUND,DomesticTOTAL,internationalINBOUND,internationalOUTBOUND,internationalTOTAL,totalINBOUND,totalOUTBOUND,totalTOTAL
TOTAL AUSTRALIA,1985,,425190,425137,850327,21063,20828,41891,446253,445965,892218
TOTAL AUSTRALIA,1986,,427697,427697,855394,24150,24068,48218,451847,451765,903612
TOTAL AUSTRALIA,1987,,429860,429860,859720,26795,26669,53464,456655,456529,913184
TOTAL AUSTRALIA,1988,,450392,450392,900784,30215,29919,60134,480607,480311,960918
TOTAL AUSTRALIA,1989,,386229,386229,772458,33784,33221,67005,420013,419450,839463
TOTAL AUSTRALIA,1990,,415175,415175,830350,36401,35956,72357,451576,451131,902707
TOTAL AUSTRALIA,1991,,469821,469821,939642,37088,36930,74018,506909,506751,1013660
TOTAL AUSTRALIA,1992,,508792,508792,1017584,40560,40430,80990,549352,549222,1098574
TOTAL AUSTRALIA,1993,,527512,527512,1055024,43677,43491,87168,571189,571003,1142192
TOTAL AUSTRALIA,1994,,550023,550022,1100045,44127,43829,87956,594150,593851,1188001
TOTAL AUSTRALIA,1995,,570942,570942,1141884,47721,47246,94967,618663,618188,1236851
TOTAL AUSTRALIA,1996,,588790,588791,1177581,51423,50900,102323,640213,639691,1279904
TOTAL AUSTRALIA,1997,,581723,581723,1163446,52919,52283,105202,634642,634006,1268648
TOTAL AUSTRALIA,1998,,584513,584513,1169026,53347,52791,106138,637860,637304,1275164
TOTAL AUSTRALIA,1999,,587612,587612,1175224,52822,52332,105154,640434,639944,1280378
TOTAL AUSTRALIA,2000,,605780,605780,1211560,56196,55658,111854,661976,661438,1323414
TOTAL AUSTRALIA,2001,,563927,563927,1127854,55081,54631,109712,619008,618558,1237566
TOTAL AUSTRALIA,2002,,478711,478711,957422,52748,52537,105285,531459,531248,1062707
TOTAL AUSTRALIA,2003,,478087,478087,956174,54353,54211,108564,532440,532298,1064738
TOTAL AUSTRALIA,2004,,523678,523678,1047356,63977,63989,127966,587655,587667,1175322
TOTAL AUSTRALIA,2005,,541591,541591,1083182,67194,67129,134323,608785,608720,1217505
TOTAL AUSTRALIA,2006,,538902,538902,1077804,65812,65738,131550,604714,604640,1209354
TOTAL AUSTRALIA,2007,,545378,545378,1090756,67344,67186,134530,612722,612564,1225286
TOTAL AUSTRALIA,2008,,568360,568360,1136720,71732,71610,143342,640092,639970,1280062
