Metric,AIRPORT,Year,Rank,DomesticINBOUND,DomesticOUTBOUND,DomesticTOTAL,internationalINBOUND,internationalOUTBOUND,internationalTOTAL,totalINBOUND,totalOUTBOUND,totalTOTAL
TOTAL AUSTRALIA1985,TOTAL AUSTRALIA,1985,-,14097448,14097447,28194895,2646731,2553642,5200373,16744179,16651089,33395268
TOTAL AUSTRALIA1986,TOTAL AUSTRALIA,1986,-,14831080,14831080,29662160,2973834,2844603,5818437,17804914,17675683,35480597
TOTAL AUSTRALIA1987,TOTAL AUSTRALIA,1987,-,15601526,15601526,31203052,3436278,3278154,6714432,19037804,18879680,37917484
TOTAL AUSTRALIA1988,TOTAL AUSTRALIA,1988,-,16859220,16859253,33718473,3955119,3811663,7766782,20814339,20670916,41485255
TOTAL AUSTRALIA1989,TOTAL AUSTRALIA,1989,-,12555554,12555685,25111239,4015692,3915411,7931103,16571246,16471096,33042342
TOTAL AUSTRALIA1990,TOTAL AUSTRALIA,1990,-,15200013,15200051,30400064,4303048,4219177,8522225,19503061,19419228,38922289
TOTAL AUSTRALIA1991,TOTAL AUSTRALIA,1991,-,19205741,19205741,38411482,4354044,4298533,8652577,23559785,23504274,47064059
TOTAL AUSTRALIA1992,TOTAL AUSTRALIA,1992,-,20185381,20185381,40370762,4670465,4637463,9307928,24855846,24822844,49678690
TOTAL AUSTRALIA1993,TOTAL AUSTRALIA,1993,-,21602443,21602443,43204886,5127845,5050440,10178285,26730288,26652883,53383171
TOTAL AUSTRALIA1994,TOTAL AUSTRALIA,1994,-,24146413,24146288,48292701,5591850,5521750,11113600,29738263,29668038,59406301
TOTAL AUSTRALIA1995,TOTAL AUSTRALIA,1995,-,25957728,25957728,51915456,6081266,5981942,12063208,32038994,31939670,63978664
TOTAL AUSTRALIA1996,TOTAL AUSTRALIA,1996,-,27231827,27231827,54463654,6691018,6576169,13267187,33922845,33807996,67730841
TOTAL AUSTRALIA1997,TOTAL AUSTRALIA,1997,-,27510075,27510075,55020150,7074238,7000617,14074855,34584313,34510692,69095005
TOTAL AUSTRALIA1998,TOTAL AUSTRALIA,1998,-,27866610,27866610,55733220,7153314,7083991,14237305,35019924,34950601,69970525
TOTAL AUSTRALIA1999,TOTAL AUSTRALIA,1999,-,28815847,28815847,57631694,7542323,7444240,14986563,36358170,36260087,72618257
TOTAL AUSTRALIA2000,TOTAL AUSTRALIA,2000,-,30832150,30832150,61664300,8264740,8222934,16487674,39096890,39055084,78151974
TOTAL AUSTRALIA2001,TOTAL AUSTRALIA,2001,-,31186813,31186813,62373626,8449152,8350563,16799715,39635965,39537376,79173341
TOTAL AUSTRALIA2002,TOTAL AUSTRALIA,2002,-,29703395,29703395,59406790,8371767,8310606,16682373,38075162,38014001,76089163
